Speed   0   2   4   6   8   10  12  14  16  17  18  19  20
4   0.01773 0.01844 0.02202 0.02757 0.03472 0.03834 0.03736 0.06095 0.08487 0.10272 0.1389  0.2373  0.2511
6   0.01282 0.01435 0.01716 0.02077 0.02505 0.02689 0.03064 0.05831 0.08105 0.09261 0.10618 0.13441 0.21
8   0.0185  0.01254 0.01497 0.01784 0.02107 0.02292 0.02858 0.05297 0.06237 0.09296 0.10438 0.12412 0.1469
10  0.00979 0.01147 0.01361 0.01612 0.01872 0.02055 0.02776 0.05423 0.06295 0.09432 0.10352 0.12066 0.1359
12  0.00907 0.0107  0.01266 0.01486 0.01712 0.01899 0.02724 0.05229 0.06201 0.096   0.10803 0.11942 0.1364
14  0.00856 0.01014 0.012   0.01397 0.01601 0.01783 0.02684 0.05028 0.08208 0.09633 0.10819 0.12219 0.13404
16  0.00817 0.00972 0.01137 0.01335 0.01513 0.01697 0.02634 0.04773 0.06107 0.09629 0.1102  0.12146 0.13677
18  0.00789 0.00935 0.01095 0.01268 0.01443 0.01634 0.02586 0.04662 0.07882 0.0956  0.11053 0.12381 0.1373
20  0.00776 0.00904 0.01053 0.0122  0.01383 0.01586 0.02533 0.04406 0.07754 0.09423 0.11002 0.12461 0.13767
